《正面管教》修订版,简·尼尔森,亲子/家教,出版时间:2016年07月 ,北京联合出版公司,27.20                ,http://img3m0.ddimg.cn/64/6/23990140-1_w_7.jpg,http://product.dangdang.com/23990140.html
养育男孩（典藏版）,史蒂夫,亲子/家教,出版时间:2014年04月 ,中信出版社,28.60                ,http://img3m1.ddimg.cn/37/24/23457691-1_w_1.jpg,http://product.dangdang.com/23457691.html
养育女孩,Steve,亲子/家教,出版时间:2014年04月 ,中信出版社,28.60                ,http://img3m0.ddimg.cn/36/23/23457690-1_w_1.jpg,http://product.dangdang.com/23457690.html
好妈妈胜过好老师（700万册纪念版）,尹建莉,亲子/家教,出版时间:2017年08月 ,作家出版社,49.00                ,http://img3m9.ddimg.cn/37/23/25124059-1_w_7.jpg,http://product.dangdang.com/25124059.html
如何说孩子才会听 怎么听孩子才肯说（全新修订版）,玛兹丽施,亲子/家教,出版时间:2016年09月 ,中央编译出版社,25.60                ,http://img3m2.ddimg.cn/17/7/24044642-1_w_16.jpg,http://product.dangdang.com/24044642.html
[武志红力荐]当我遇见一个人（母亲即命运，知名心理学家李雪真诚诠释，尹建莉、张德芬、武志红、曾奇峰赞赏推荐）,李雪,亲子/家教,出版时间:2016年06月 ,北京联合出版公司,32.50                ,http://img3m2.ddimg.cn/42/16/23962992-1_w_17.jpg,http://product.dangdang.com/23962992.html
《0～3岁孩子的正面管教》,简·尼尔森,亲子/家教,出版时间:2015年08月 ,北京联合出版公司,30.00                ,http://img3m6.ddimg.cn/19/20/23736556-1_w_1.jpg,http://product.dangdang.com/23736556.html
"孩子你慢慢来：龙应台""人生三书""之一（彩插新版）",龙应台,亲子/家教,出版时间:2014年01月 ,广西师范大学出版社,23.50                ,http://img3m5.ddimg.cn/8/0/23407865-1_w_1.jpg,http://product.dangdang.com/23407865.html
四五快读 全彩图升级版——幼儿快速识字阅读法（全8册）(让孩子爱上阅读 快乐识字)[精选套装],杨其铎,亲子/家教,出版时间:2012年02月 ,湖南科技出版社,188.60                ,http://img3m5.ddimg.cn/76/8/22745425-1_w_1.jpg,http://product.dangdang.com/22745425.html
郑渊洁家庭教育课 皮皮鲁之父，童话大王郑渊洁首次公开学霸女儿成长经过，依托十二年教育日记编写而成,郑渊洁,亲子/家教,出版时间:2018年10月 ,天津人民出版社,60.70                ,http://img3m7.ddimg.cn/38/13/25479767-1_w_13.jpg,http://product.dangdang.com/25479767.html
不吼不叫：如何平静地让孩子与父母合作,罗娜·雷纳,亲子/家教,出版时间:2016年03月 ,上海社会科学院出版社,22.80                ,http://img3m7.ddimg.cn/34/12/23909227-1_w_4.jpg,http://product.dangdang.com/23909227.html
PET  P.E.T.父母效能训练:让亲子沟通如此高效而简单,戈登,亲子/家教,出版时间:2015年09月 ,中国发展出版社,27.80                ,http://img3m8.ddimg.cn/42/36/23793108-1_w.jpg,http://product.dangdang.com/23793108.html
为何家会伤人（武志红代表作2018百万畅销纪念版）,武志红,亲子/家教,出版时间:2018年09月 ,北京联合出版有限公司,52.20                ,http://img3m8.ddimg.cn/28/29/25351948-1_w_3.jpg,http://product.dangdang.com/25351948.html
心理营养:林文采博士的亲子教育课,林文采,亲子/家教,出版时间:2016年03月 ,上海社会科学院出版社,29.70                ,http://img3m7.ddimg.cn/9/13/23920587-1_w_10.jpg,http://product.dangdang.com/23920587.html
你就是孩子最好的玩具,金伯莉·布雷恩,亲子/家教,出版时间:2016年06月 ,南方出版社,23.70                ,http://img3m0.ddimg.cn/58/29/22463950-1_w_2.jpg,http://product.dangdang.com/22463950.html
捕捉儿童敏感期+爱和自由+完整的成长 珍藏版套装 （这是一套关于“爱”孩子，而不是“教”孩子的书，是一套幼儿教育的革命性著作，孙瑞雪带您走进孩子的心灵世界！）[精选套装],孙瑞雪,亲子/家教,出版时间:2015年04月 ,中国妇女出版社,106.20                ,http://img3m4.ddimg.cn/18/35/23664384-1_w_1.jpg,http://product.dangdang.com/23664384.html
这样跟孩子定规矩，孩子最不会抵触,乔治·M·卡帕卡,亲子/家教,出版时间:2012年08月 ,北京联合出版公司,21.20                ,http://img3m6.ddimg.cn/9/28/22818816-1_w_16.jpg,http://product.dangdang.com/22818816.html
十几岁孩子的正面管教——教给十几岁的孩子人生技能（畅销书《正面管教》作者力作，养育青春期孩子的“黄金准则”）,简.尔森,亲子/家教,出版时间:2014年02月 ,北京联合出版公司,25.00                ,http://img3m2.ddimg.cn/47/28/23422952-1_w_1.jpg,http://product.dangdang.com/23422952.html
《3～6岁孩子的正面管教》,简·尼尔森,亲子/家教,出版时间:2015年02月 ,北京联合出版公司,30.00                ,http://img3m3.ddimg.cn/67/33/23645623-1_w_2.jpg,http://product.dangdang.com/23645623.html
如何培养孩子的社会能力,默娜·B.舒尔,亲子/家教,出版时间:2018年02月 ,北京联合出版有限公司,21.50                ,http://img3m3.ddimg.cn/74/6/25236263-1_w_2.jpg,http://product.dangdang.com/25236263.html
