阶梯围棋基础训练--手筋专项训练(从10级到5级),张杰,体育/运动,出版时间:2009年10月 ,辽宁科学技术出版社,22.40                ,http://img3m3.ddimg.cn/43/12/20719753-1_w_5.jpg,http://product.dangdang.com/20719753.html
围棋入门一本就够,吴秉铁,体育/运动,出版时间:2015年05月 ,化学工业出版社,27.80                ,http://img3m0.ddimg.cn/95/24/23693270-1_w_1.jpg,http://product.dangdang.com/23693270.html
肌肉健美训练图解（最新版）,德拉威尔,体育/运动,出版时间:2012年05月 ,山东科学技术出版社,39.60                ,http://img3m2.ddimg.cn/46/17/22786282-1_w_2.jpg,http://product.dangdang.com/22786282.html
速成围棋 入门篇套装（共3册）[精选套装],黄焰,体育/运动,出版时间:2011年11月 ,青岛出版社,59.50                ,http://img3m6.ddimg.cn/64/10/23463856-1_w_6.jpg,http://product.dangdang.com/23463856.html
囚徒健身：用失传的技艺练就强大的生存实力（美国畅销健身书，留存于美国监狱的训练体系，把男人的力量推向生理极限）,威德,体育/运动,出版时间:2013年10月 ,北京科学技术出版社,71.10                ,http://img3m5.ddimg.cn/69/2/23331795-1_w_2.jpg,http://product.dangdang.com/23331795.html
儿童象棋基础教程（套装共2册）,未爬取到此字段,体育/运动,出版时间:2014年10月 ,化学工业出版社,44.50                ,http://img3m3.ddimg.cn/23/34/23962973-1_w_6.jpg,http://product.dangdang.com/23962973.html
大师三人行-少儿国际象棋入门（上下册）,叶江川,体育/运动,出版时间:2013年09月 ,青岛出版社,39.70                ,http://img3m5.ddimg.cn/48/16/23349495-1_w_2.jpg,http://product.dangdang.com/23349495.html
象棋入门一本就够,于川,体育/运动,出版时间:2016年05月 ,化学工业出版社,27.80                ,http://img3m6.ddimg.cn/12/21/23947716-1_w_2.jpg,http://product.dangdang.com/23947716.html
女性健身全书,亚当·坎贝尔,体育/运动,出版时间:2017年10月 ,人民邮电出版社,88.10                ,http://img3m1.ddimg.cn/45/27/25174161-1_w_3.jpg,http://product.dangdang.com/25174161.html
普拉提教程：初学到高手（汉竹）,韩俊,体育/运动,出版时间:2016年01月 ,江苏科学技术出版社,54.00                ,http://img3m9.ddimg.cn/81/3/23852349-1_w_3.jpg,http://product.dangdang.com/23852349.html
聂卫平围棋教程（从入门到15级）,聂卫平,体育/运动,出版时间:2017年09月 ,人民邮电出版社,35.40                ,http://img3m2.ddimg.cn/59/20/25160612-1_w_16.jpg,http://product.dangdang.com/25160612.html
太极拳与静坐,南怀瑾讲述,体育/运动,出版时间:2014年06月 ,上海书店出版社,16.20                ,http://img3m5.ddimg.cn/62/7/23522165-1_w_1.jpg,http://product.dangdang.com/23522165.html
肌肉力量训练彩色图谱,里内拉斯,体育/运动,出版时间:2015年07月 ,人民邮电出版社,40.10                ,http://img3m4.ddimg.cn/95/16/23727524-1_w_1.jpg,http://product.dangdang.com/23727524.html
阶梯围棋基础训练--手筋专项训练(从入门到10级),张杰,体育/运动,出版时间:2009年10月 ,辽宁科学技术出版社,22.40                ,http://img3m2.ddimg.cn/42/11/20719752-1_w_4.jpg,http://product.dangdang.com/20719752.html
阶梯围棋基础训练丛书.死活专项训练.从入门到10级,张杰,体育/运动,出版时间:2010年06月 ,辽宁科学技术出版社,22.40                ,http://img3m6.ddimg.cn/42/10/20854986-1_w_4.jpg,http://product.dangdang.com/20854986.html
大师三人行少儿国际象棋入门篇实战练习（上中下）,叶江川,体育/运动,出版时间:2015年06月 ,青岛出版社,39.70                ,http://img3m2.ddimg.cn/9/24/23762682-1_w_1.jpg,http://product.dangdang.com/23762682.html
NBA历史500巨星：全新升级版,艾伦,体育/运动,出版时间:2018年01月 ,译林出版社,41.00                ,http://img3m3.ddimg.cn/32/28/25247903-1_w_3.jpg,http://product.dangdang.com/25247903.html
拉伸训练彩色图谱,吉耶尔莫·赛哈斯·阿尔比尔,体育/运动,出版时间:2015年07月 ,人民邮电出版社,43.60                ,http://img3m7.ddimg.cn/98/19/23727527-1_w_1.jpg,http://product.dangdang.com/23727527.html
速成围棋 入门篇 中,黄焰,体育/运动,出版时间:2011年11月 ,青岛出版社,19.90                ,http://img3m0.ddimg.cn/39/9/22544220-1_w_4.jpg,http://product.dangdang.com/22544220.html
速成围棋 入门篇 上,黄焰,体育/运动,出版时间:2011年11月 ,青岛出版社,19.90                ,http://img3m1.ddimg.cn/40/10/22544221-1_w_5.jpg,http://product.dangdang.com/22544221.html
