父与子全集(郑渊洁唯一推荐版本，亲子同读必备经典！)作家榜经典文库,卜劳恩,动漫/幽默,出版时间:2017年05月 ,浙江文艺出版社,29.90                ,http://img3m6.ddimg.cn/90/8/25067286-1_w_34.jpg,http://product.dangdang.com/25067286.html
父与子全集（全彩版）,埃·奥·卜劳恩,动漫/幽默,出版时间:2017年04月 ,浙江工商大学出版社,28.08                ,http://img3m3.ddimg.cn/30/3/25061583-1_w_2.jpg,http://product.dangdang.com/25061583.html
《日“历”万机》（白茶新书 日历万机 2019年日历当当独家发售 白茶继《喜干》后全新漫画日历，吾皇和巴扎黑陪你度过2019每一天）,白茶,动漫/幽默,出版时间:2018年10月 ,人民文学出版社,69.80                ,http://img3m3.ddimg.cn/4/12/25537153-1_w_7.jpg,http://product.dangdang.com/25537153.html
如果历史是一群喵1-2（套装共2册）,肥志,动漫/幽默,出版时间:2018年06月 ,黑龙江美术出版社,92.80                ,http://img3m1.ddimg.cn/22/5/25291651-1_w_2.jpg,http://product.dangdang.com/25291651.html
就喜欢你看不惯我又干不掉我的样子3 白茶的书,白茶,动漫/幽默,出版时间:2017年12月 ,中国友谊出版公司,49.50                ,http://img3m2.ddimg.cn/68/14/25200122-1_w_12.jpg,http://product.dangdang.com/25200122.html
回答不了（感动千万读者，横扫国内各大榜单，年度不可错过的漫画集）,匡扶摇,动漫/幽默,出版时间:2018年10月 ,浙江文艺出版社,52.70                ,http://img3m0.ddimg.cn/63/23/25479000-1_w_10.jpg,http://product.dangdang.com/25479000.html
爆笑校园1-10套装,朱斌,动漫/幽默,未爬取到此字段,未爬取到此字段,89.30                ,http://img3m9.ddimg.cn/41/34/22924679-1_w_7.jpg,http://product.dangdang.com/22924679.html
父与子全集（全彩精装版）,埃·奥·卜劳恩,动漫/幽默,出版时间:2018年04月 ,浙江工商大学出版社,38.25                ,http://img3m9.ddimg.cn/78/1/25251909-1_w_1.jpg,http://product.dangdang.com/25251909.html
蔡志忠典藏国学漫画系列（套装共18册）,蔡志忠,动漫/幽默,出版时间:2018年05月 ,广州出版社,325.70                ,http://img3m7.ddimg.cn/16/17/25267687-1_w_3.jpg,http://product.dangdang.com/25267687.html
父与子全集,卜劳恩,动漫/幽默,出版时间:2011年05月 ,北方妇女儿童出版社,21.80                ,http://img3m0.ddimg.cn/8/4/21061070-1_w_2.jpg,http://product.dangdang.com/21061070.html
破耳兔：你不完美的样子也很好（我们都是不完美的存在，笨拙却用力去爱，迟钝却努力奔跑。相信我，你不完美的样子也很好。）,麦可洛克,动漫/幽默,出版时间:2018年11月 ,百花洲文艺出版社,39.50                ,http://img3m2.ddimg.cn/1/8/25584472-1_w_2.jpg,http://product.dangdang.com/25584472.html
成功的聪明人太多了，我必须为笨蛋争口气！（书单来了小编书单狗出书啦！解压神书，贱萌来袭！看书单狗为笨蛋争口气！）,书单狗,动漫/幽默,出版时间:2018年10月 ,江苏凤凰文艺出版社,41.70                ,http://img3m0.ddimg.cn/26/12/25578260-1_w_2.jpg,http://product.dangdang.com/25578260.html
非平面,尼克·索萨尼斯,动漫/幽默,出版时间:2018年11月 ,北京联合出版有限公司,56.40                ,http://img3m7.ddimg.cn/85/35/25347847-1_w_3.jpg,http://product.dangdang.com/25347847.html
追寻逝去的时光 第一卷：去斯万家那边,马塞尔·普鲁斯特,动漫/幽默,出版时间:2018年01月 ,湖南美术出版社,150.40                ,http://img3m0.ddimg.cn/54/5/25197930-1_w_3.jpg,http://product.dangdang.com/25197930.html
父与子全集（彩色双语版)（出版至今80年仍风靡全球，德国漫画大师卜劳恩，不朽杰作震撼世间心灵，经典幽默演绎生活点滴，传世名作再现父子深情，足本全部收录，再度真情奉献！）（吉林外语出品）,埃·奥·卜劳恩,动漫/幽默,出版时间:2014年06月 ,吉林出版集团有限责任公司,18.80                ,http://img3m2.ddimg.cn/58/26/23492362-1_w_1.jpg,http://product.dangdang.com/23492362.html
怦然心动1,Kid岁,动漫/幽默,出版时间:2017年05月 ,北京时代华文书局,30.00                ,http://img3m6.ddimg.cn/1/26/25062346-1_w_6.jpg,http://product.dangdang.com/25062346.html
父与子全集,埃·奥·卜劳恩,动漫/幽默,出版时间:2016年07月 ,哈尔滨出版社,23.80                ,http://img3m6.ddimg.cn/84/15/24027186-1_w_2.jpg,http://product.dangdang.com/24027186.html
两个人的头两年,高木直子,动漫/幽默,出版时间:2018年09月 ,百花洲文艺出版社,29.30                ,http://img3m2.ddimg.cn/71/33/25333082-1_w_5.jpg,http://product.dangdang.com/25333082.html
镖人4（轰动日本的中国漫画！）,许先哲,动漫/幽默,出版时间:2018年11月 ,北京联合出版有限公司,33.90                ,http://img3m2.ddimg.cn/28/14/25578262-1_w_3.jpg,http://product.dangdang.com/25578262.html
疯了！桂宝.20，有志卷,阿桂,动漫/幽默,出版时间:2018年09月 ,中国友谊出版公司,39.40                ,http://img3m6.ddimg.cn/54/19/25333956-1_w_3.jpg,http://product.dangdang.com/25333956.html
