华杉讲透《孙子兵法》（独家精装珍藏版）,华杉,政治/军事,出版时间:2015年06月 ,江苏文艺出版社,42.30                ,http://img3m3.ddimg.cn/55/15/23709763-1_w_2.jpg,http://product.dangdang.com/23709763.html
习近平新时代中国特色社会主义思想三十讲（标准版）    团购电话4001066666转6,未爬取到此字段,政治/军事,出版时间:2018年05月 ,学习出版社,20.00                ,http://img3m8.ddimg.cn/85/28/25272508-1_w_6.jpg,http://product.dangdang.com/25272508.html
注定一战：中美能避免修昔底德陷阱吗？  中美贸易战必读！,格雷厄姆·艾利森,政治/军事,出版时间:2019年01月 ,上海人民出版社,71.10                ,http://img3m7.ddimg.cn/84/3/25580397-1_w_3.jpg,http://product.dangdang.com/25580397.html
习近平谈治国理政 第二卷 中文版平装本（100册以上团购请联系团购电话4001066666转6）,习近平,政治/军事,出版时间:2017年11月 ,外文出版社,50.50                ,http://img3m9.ddimg.cn/86/17/25188359-1_w_4.jpg,http://product.dangdang.com/25188359.html
习近平的七年知青岁月              100册以上团购请联系电话400-106-6666转6,中央党校采访实录编辑室,政治/军事,出版时间:2017年08月 ,中共中央党校出版社,49.80                ,http://img3m2.ddimg.cn/37/0/25146532-1_w_1.jpg,http://product.dangdang.com/25146532.html
中国历代政治得失 钱穆（新校本）,钱穆,政治/军事,出版时间:2013年12月 ,九州出版社,12.60                ,http://img3m7.ddimg.cn/59/3/22584137-1_w_2.jpg,http://product.dangdang.com/22584137.html
毛泽东选集（全四册，32开）,毛泽东,政治/军事,未爬取到此字段,未爬取到此字段,60.75                ,http://img3m0.ddimg.cn/27/0/23413230-1_w_1.jpg,http://product.dangdang.com/23413230.html
巨变：改革开放40年中国记忆（2018年主题出版重点出版物，庆祝改革开放40周年，以大量珍贵历史照片生动展现改革开放以来的中国巨变）,巨变,政治/军事,出版时间:2018年09月 ,新华出版社,73.50                ,http://img3m6.ddimg.cn/25/35/25339966-1_w_3.jpg,http://product.dangdang.com/25339966.html
邓小平传：最新图文珍藏版，真实再现近现代重大历史事件（西方邓小平研究专家、英国前驻华大使理查德·伊文思 历三十年的心血巨著）,理查德.伊文思,政治/军事,出版时间:2013年02月 ,国际文化出版公司,39.50                ,http://img3m3.ddimg.cn/65/9/23170223-1_w_1.jpg,http://product.dangdang.com/23170223.html
习近平谈治国理政 第一卷 中文版平装（最新修订版）团购电话4001066666转6,习近平,政治/军事,出版时间:2018年01月 ,外文出版社,53.80                ,http://img3m2.ddimg.cn/23/36/25227302-1_w_2.jpg,http://product.dangdang.com/25227302.html
中国历代政治得失（新修订版）,钱穆,政治/军事,出版时间:2017年06月 ,生活.读书.新知三联书店,29.20                ,http://img3m5.ddimg.cn/44/2/25097435-1_w_3.jpg,http://product.dangdang.com/25097435.html
中国共产党支部工作条例（试行）（32开红皮烫金版）团购电话：4001066666转6,中国法制出版社,政治/军事,出版时间:2018年11月 ,中国法制出版社,3.80                ,http://img3m2.ddimg.cn/68/14/25859462-1_w_2.jpg,http://product.dangdang.com/25859462.html
共产党宣言（马列主义经典作家文库著作单行本）   团购电话4001066666转6,马克思,政治/军事,出版时间:2015年01月 ,人民出版社,25.20                ,http://img3m4.ddimg.cn/72/19/23650974-1_w_3.jpg,http://product.dangdang.com/23650974.html
习近平用典.第二辑 团购电话4001066666转6,人民日报评论部,政治/军事,出版时间:2018年05月 ,人民日报出版社,31.30                ,http://img3m9.ddimg.cn/87/0/25274589-1_w_3.jpg,http://product.dangdang.com/25274589.html
习近平谈治国理政（第一卷+第二卷）中文版平装（套装2册）,未爬取到此字段,政治/军事,未爬取到此字段,未爬取到此字段,未爬取到此字段,http://img3m0.ddimg.cn/37/19/410261680-1_w_1.jpg,http://product.dangdang.com/410261680.html
毛泽东选集（全四册，精装）,毛泽东,政治/军事,出版时间:1991年06月 ,人民出版社,134.30                ,http://img3m1.ddimg.cn/28/20/23561731-1_w_1.jpg,http://product.dangdang.com/23561731.html
平易近人——习近平的语言力量,陈锡喜,政治/军事,出版时间:2018年11月 ,上海交通大学出版社,33.10                ,http://img3m8.ddimg.cn/84/33/25578318-1_w_1.jpg,http://product.dangdang.com/25578318.html
习近平用典 第一辑     团购电话：4001066666转6,人民日报评论部,政治/军事,出版时间:2018年05月 ,人民日报出版社,29.70                ,http://img3m3.ddimg.cn/20/21/25282343-1_w_3.jpg,http://product.dangdang.com/25282343.html
硬球：政治是这样玩的（精装）,马修斯,政治/军事,出版时间:2015年04月 ,新华出版社,36.00                ,http://img3m6.ddimg.cn/49/21/23695006-1_w_1.jpg,http://product.dangdang.com/23695006.html
邓小平文选（平装 全三卷）,邓小平,政治/军事,未爬取到此字段,未爬取到此字段,41.10                ,http://img3m1.ddimg.cn/93/25/20815041-1_w_2.jpg,http://product.dangdang.com/20815041.html
