神奇校车·图画书版（全12册，新增《科学博览会》1册）,乔安娜柯尔,童书,出版时间:2018年05月 ,贵州人民出版社,176.70                ,http://img3m8.ddimg.cn/82/19/25252408-1_w_19.jpg,http://product.dangdang.com/25252408.html
夏洛的网（新）,怀特,童书,出版时间:2014年08月 ,上海译文出版社,19.50                ,http://img3m6.ddimg.cn/7/21/23546266-1_w_6.jpg,http://product.dangdang.com/23546266.html
写给儿童的中国历史（全14册）,陈卫平,童书,出版时间:2014年04月 ,新世界出版社,281.60                ,http://img3m6.ddimg.cn/76/35/23427436-1_w_4.jpg,http://product.dangdang.com/23427436.html
曹文轩纯美小说系列：草房子,曹文轩,童书,出版时间:2016年04月 ,江苏凤凰少年儿童出版社,17.50                ,http://img3m7.ddimg.cn/82/12/23953627-1_w_5.jpg,http://product.dangdang.com/23953627.html
窗边的小豆豆(2018版),黑柳彻子,童书,出版时间:2018年05月 ,南海出版公司,39.50                ,http://img3m6.ddimg.cn/66/10/25272786-1_w_3.jpg,http://product.dangdang.com/25272786.html
在教室说错了没关系,莳田晋至,童书,出版时间:2017年02月 ,青岛出版社,28.60                ,http://img3m5.ddimg.cn/64/16/24194575-1_w_3.jpg,http://product.dangdang.com/24194575.html
我们的身体,艾德兰,童书,出版时间:2012年06月 ,未来出版社,123.00                ,http://img3m7.ddimg.cn/57/36/23946177-1_w_19.jpg,http://product.dangdang.com/23946177.html
动物小说大王沈石溪·品藏书系：狼王梦（升级版）,沈石溪,童书,出版时间:2018年07月 ,浙江少年儿童出版社,18.10                ,http://img3m9.ddimg.cn/84/5/25309929-1_w_4.jpg,http://product.dangdang.com/25309929.html
小猪唏哩呼噜(注音版上、下),孙幼军,童书,出版时间:2014年07月 ,春风文艺出版社,29.70                ,http://img3m9.ddimg.cn/73/31/23504059-1_w_7.jpg,http://product.dangdang.com/23504059.html
不一样的卡梅拉手绘本（1-12册）,克利斯提昂,童书,出版时间:2013年06月 ,２１世纪出版社,95.20                ,http://img3m8.ddimg.cn/55/35/23257828-1_w_5.jpg,http://product.dangdang.com/23257828.html
米小圈上学记一年级（套装共4册）,北猫,童书,出版时间:2018年04月 ,四川少儿出版社,79.30                ,http://img3m7.ddimg.cn/91/21/25261327-1_w_3.jpg,http://product.dangdang.com/25261327.html
我的第一本地理启蒙书,郑利强,童书,出版时间:2016年06月 ,新世界出版社,32.60                ,http://img3m8.ddimg.cn/42/6/23967348-1_w_17.jpg,http://product.dangdang.com/23967348.html
小熊和最好的爸爸（全7册）,丹姆,童书,出版时间:2007年11月 ,贵州人民出版社,31.30                ,http://img3m1.ddimg.cn/31/4/20039611-1_w_3.jpg,http://product.dangdang.com/20039611.html
上下五千年（最新版）,林汉达,童书,出版时间:2011年07月 ,少年儿童出版社,69.80                ,http://img3m2.ddimg.cn/21/30/22478862-1_w_1.jpg,http://product.dangdang.com/22478862.html
曹文轩纯美小说：青铜葵花,曹文轩,童书,出版时间:2016年04月 ,江苏少年儿童出版社,17.50                ,http://img3m2.ddimg.cn/41/5/23949032-1_w_4.jpg,http://product.dangdang.com/23949032.html
少年读史记（套装全5册）,张嘉骅,童书,出版时间:2015年09月 ,青岛出版社,63.50                ,http://img3m1.ddimg.cn/80/1/23778791-1_w_4.jpg,http://product.dangdang.com/23778791.html
哈利·波特（套装1-7册）《语文》教材推荐阅读书目，外国儿童文学经典，新英国版封面平装版,J.K.罗琳,童书,出版时间:2018年11月 ,人民文学出版社,328.50                ,http://img3m6.ddimg.cn/22/0/25583206-1_w_3.jpg,http://product.dangdang.com/25583206.html
长青藤国际大奖小说书系：想赢的男孩,杰里·斯皮内利,童书,出版时间:2017年01月 ,云南出版集团公司 晨光出版社,15.90                ,http://img3m3.ddimg.cn/10/7/24167593-1_w_6.jpg,http://product.dangdang.com/24167593.html
欢乐中国年（独家赠送小狮子手偶）,七色王国,童书,出版时间:2018年12月 ,安徽少年儿童出版社,180.80                ,http://img3m2.ddimg.cn/96/8/26288952-1_w_7.jpg,http://product.dangdang.com/26288952.html
时代广场的蟋蟀 麦克米伦世纪大奖小说典藏本,乔治.塞尔登,童书,出版时间:2017年10月 ,二十一世纪出版社,15.90                ,http://img3m8.ddimg.cn/67/35/25173688-1_w_3.jpg,http://product.dangdang.com/25173688.html
