薛兆丰经济学讲义,薛兆丰,经济,出版时间:2018年07月 ,中信出版社,64.60                ,http://img3m7.ddimg.cn/42/18/25307907-1_w_5.jpg,http://product.dangdang.com/25307907.html
东奥初级会计2019 轻松过关1 2019年应试指导及全真模拟测试初级会计实务 东奥会计初级职称教材2019,刘忠,经济,出版时间:2018年12月 ,北京科学技术出版社,43.90                ,http://img3m9.ddimg.cn/49/32/25537099-1_w_9.jpg,http://product.dangdang.com/25537099.html
初级会计职称考试教材2019教材 2019年初级会计专业技术资格考试经济法基础 全套,财政部会计资格评价中心,经济,出版时间:2018年12月 ,经济科学出版社,40.00                ,http://img3m6.ddimg.cn/49/26/25546306-1_w_4.jpg,http://product.dangdang.com/25546306.html
东奥初级会计职称2019教材辅导书应试指导及全真模拟测试19年初级会计实务+初级经济法基础 轻松过关1【4本组合】,未爬取到此字段,经济,未爬取到此字段,未爬取到此字段,未爬取到此字段,http://img3m8.ddimg.cn/75/21/410265678-1_w_2.jpg,http://product.dangdang.com/410265678.html
初级会计职称考试教材2019教材 2019年初级会计专业技术资格考试初级会计实务 全套,财政部会计资格评价中心,经济,出版时间:2018年12月 ,经济科学出版社,35.00                ,http://img3m7.ddimg.cn/50/27/25546307-1_w_3.jpg,http://product.dangdang.com/25546307.html
东奥初级会计2019 轻松过关1 2019年应试指导及全真模拟测试初级经济法 东奥会计初级职称教材2019,未爬取到此字段,经济,出版时间:2018年12月 ,北京科学技术出版社,55.00                ,http://img3m0.ddimg.cn/50/33/25537100-1_w_8.jpg,http://product.dangdang.com/25537100.html
经济学原理 （第7版）(套装微观经济学分册+宏观经济学分册 曼昆）,曼昆,经济,出版时间:2015年05月 ,北京大学出版社,108.80                ,http://img3m3.ddimg.cn/48/15/23697183-1_w_1.jpg,http://product.dangdang.com/23697183.html
思考，快与慢,丹尼尔卡尼曼,经济,出版时间:2012年07月 ,中信出版社,65.60                ,http://img3m8.ddimg.cn/3/7/22781388-1_w_2.jpg,http://product.dangdang.com/22781388.html
百岁人生：长寿时代的生活和工作（罗振宇2019年跨年演讲推荐书目）,琳达·格拉顿,经济,出版时间:2018年07月 ,中信出版社,64.60                ,http://img3m1.ddimg.cn/80/34/25301411-1_w_3.jpg,http://product.dangdang.com/25301411.html
国富论(上下),斯密,经济,出版时间:2011年04月 ,译林出版社,36.00                ,http://img3m6.ddimg.cn/43/9/21077836-1_w_8.jpg,http://product.dangdang.com/21077836.html
初级会计职称考试教材2019教材+试卷2019年新版初级会计专业技术资格考试：初级会计实务+经济法基础（全套4本 ）,全国会计专业技术资格考试研究组,经济,出版时间:2018年06月 ,西南财经大学出版社,78.20                ,http://img3m8.ddimg.cn/91/22/25290928-1_w_10.jpg,http://product.dangdang.com/25290928.html
经济学通识（第二版）,薛兆丰,经济,出版时间:2015年09月 ,北京大学出版社,52.20                ,http://img3m3.ddimg.cn/18/10/25188093-1_w_3.jpg,http://product.dangdang.com/25188093.html
初级会计职称考试教材2019教材 2019年初级会计专业技术资格考试初级会计实务+经济法基础 全套,未爬取到此字段,经济,未爬取到此字段,未爬取到此字段,未爬取到此字段,http://img3m7.ddimg.cn/74/20/410265677-1_w_2.jpg,http://product.dangdang.com/410265677.html
规模：复杂世界的简单法则,杰弗里·韦斯特,经济,出版时间:2018年06月 ,中信出版社,93.10                ,http://img3m0.ddimg.cn/14/6/25286990-1_w_7.jpg,http://product.dangdang.com/25286990.html
大局观：真实世界中的经济学思维,何帆,经济,出版时间:2018年11月 ,民主与建设出版社,37.60                ,http://img3m6.ddimg.cn/26/22/25808336-1_w_2.jpg,http://product.dangdang.com/25808336.html
反脆弱:从不确定性中受益,塔勒布,经济,出版时间:2014年01月 ,中信出版社,64.60                ,http://img3m0.ddimg.cn/83/6/23391110-1_w_1.jpg,http://product.dangdang.com/23391110.html
初级会计职称考试教材2019教材 2019年初级会计专业技术资格考试初级会计实务+经济法基础+东奥初级会计2019初级会计 轻松过关1套装(6本组合),未爬取到此字段,经济,未爬取到此字段,未爬取到此字段,未爬取到此字段,http://img3m7.ddimg.cn/94/3/410265697-1_w_4.jpg,http://product.dangdang.com/410265697.html
AI·未来（李开复博士深度解析人工智能未来十年大趋势）,李开复,经济,出版时间:2018年07月 ,浙江人民出版社,52.80                ,http://img3m6.ddimg.cn/0/20/25324596-1_w_1.jpg,http://product.dangdang.com/25324596.html
历代经济变革得失（典藏版）,吴晓波,经济,出版时间:2016年11月 ,浙江大学出版社,44.60                ,http://img3m6.ddimg.cn/1/23/24098086-1_w_10.jpg,http://product.dangdang.com/24098086.html
斯坦福极简经济学（当当全国独家精装升级版）,泰勒,经济,出版时间:2016年08月 ,湖南人民出版社,41.10                ,http://img3m5.ddimg.cn/66/3/24010635-1_w_6.jpg,http://product.dangdang.com/24010635.html
